time,open,high,low,close,tick_volume,spread,real_volume
2018-01-02,6405.17,6522.42,6396.92,6514.32,141851,0,0
2018-01-03,6513.17,6590.0,6510.92,6582.22,89111,0,0
2018-01-04,6583.42,6616.42,6579.42,6605.52,51901,0,0
2018-01-05,6606.17,6668.92,6599.17,6665.67,80001,0,0
2018-01-08,6665.72,6689.42,6652.67,6688.22,51001,0,0
2018-01-09,6686.92,6706.42,6666.42,6680.67,73751,0,0
2018-01-10,6678.42,6685.92,6627.42,6675.67,114251,0,0
2018-01-11,6674.17,6727.92,6663.67,6722.92,79751,0,0
2018-01-12,6722.42,6776.67,6702.67,6773.17,97251,0,0
2018-01-15,6779.17,6797.67,6772.42,6779.92,49751,0,0
2018-01-16,6779.92,6844.92,6728.67,6760.42,213001,0,0
2018-01-17,6760.42,6833.67,6744.17,6819.67,119751,0,0
2018-01-18,6818.17,6837.42,6795.17,6815.17,81501,0,0
2018-01-19,6815.92,6855.42,6800.92,6850.92,74001,0,0
2018-01-22,6825.05,6940.67,6823.42,6932.92,126631,0,0
2018-01-23,6930.17,6980.42,6919.17,6959.67,93001,0,0
2018-01-24,6954.92,7003.17,6887.67,6933.92,210001,0,0
2018-01-25,6931.42,6986.42,6901.42,6936.42,165001,0,0
2018-01-26,6937.42,7033.67,6933.67,7030.42,107001,0,0
2018-01-29,7030.42,7046.42,6979.42,6994.17,97751,0,0
2018-01-30,6992.05,7005.67,6902.17,6938.42,153371,0,0
2018-01-31,6938.67,6990.17,6920.92,6930.17,130001,0,0
2018-02-01,6973.42,6987.05,6883.92,6936.67,169511,0,0
2018-02-02,6953.42,6962.42,6751.67,6752.17,220251,0,0
2018-02-05,6752.17,6812.92,6387.17,6458.67,558001,0,0
2018-02-06,6463.17,6676.17,6259.42,6636.92,659751,0,0
2018-02-07,6643.67,6716.9,6531.6,6549.22,276151,0,0
2018-02-08,6541.6,6617.6,6300.9,6332.92,424721,0,0
