time,ATR_14_shifted
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-20,
2021-09-21,
2021-09-22,
2021-09-23,
2021-09-24,
2021-09-27,
2021-09-28,
2021-09-29,
2021-09-30,
2021-10-01,
2021-10-04,
2021-10-05,280.2164285714286
2021-10-06,289.9485714285715
2021-10-07,302.2521428571429
2021-10-08,301.34500000000014
2021-10-11,278.3428571428572
2021-10-12,279.7535714285715
2021-10-13,272.7178571428572
2021-10-14,274.5750000000001
2021-10-15,284.857142857143
2021-10-18,271.1607142857144
2021-10-19,257.30714285714294
2021-10-20,253.0392857142858
2021-10-21,247.01428571428576
2021-10-22,240.02500000000003
2021-10-25,220.16071428571442
2021-10-26,213.46428571428584
2021-10-27,202.7571428571429
2021-10-28,200.48571428571424
2021-10-29,199.29999999999993
2021-11-01,202.48214285714272
2021-11-02,198.76785714285703
2021-11-03,193.5464285714284
2021-11-04,186.98928571428547
2021-11-05,195.91071428571402
2021-11-08,188.86071428571398
2021-11-09,186.4999999999996
2021-11-10,193.9428571428568
2021-11-11,205.57499999999968
2021-11-12,201.91428571428528
2021-11-15,199.14642857142812
2021-11-16,198.83571428571395
2021-11-17,196.73928571428547
2021-11-18,192.37142857142823
2021-11-19,187.7249999999996
2021-11-22,187.3035714285709
2021-11-23,206.79285714285666
2021-11-24,213.22857142857097
2021-11-25,214.51428571428525
2021-11-26,209.25714285714236
2021-11-29,230.26071428571373
2021-11-30,242.389285714285
2021-12-01,245.40714285714225
2021-12-02,278.43928571428506
2021-12-03,284.99285714285645
2021-12-06,312.90357142857073
2021-12-07,324.2142857142849
2021-12-08,354.47499999999917
2021-12-09,353.1821428571423
2021-12-10,364.3571428571423
2021-12-13,350.04999999999956
2021-12-14,353.6392857142852
2021-12-15,362.96071428571383
2021-12-16,396.9642857142853
2021-12-17,414.735714285714
2021-12-20,407.86785714285696
2021-12-21,405.510714285714
2021-12-22,389.9392857142854
2021-12-23,389.7592857142854
2021-12-27,363.05428571428536
2021-12-28,359.0149999999997
2021-12-29,334.24357142857144
2021-12-30,333.8935714285713
2021-12-31,323.88999999999993
2022-01-03,320.05428571428575
2022-01-04,310.49000000000007
2022-01-05,312.4042857142857
2022-01-06,308.8007142857144
2022-01-07,282.5400000000001
2022-01-10,285.20071428571435
2022-01-11,296.93642857142873
2022-01-12,295.54000000000036
2022-01-13,291.791428571429
2022-01-14,313.94642857142907
2022-01-17,315.6107142857148
2022-01-18,310.264285714286
2022-01-19,328.4857142857146
2022-01-20,342.98428571428605
2022-01-21,381.72571428571456
2022-01-24,398.4221428571431
2022-01-25,430.38500000000033
2022-01-26,435.23357142857174
2022-01-27,464.7107142857146
2022-01-28,480.54857142857185
2022-01-31,487.1057142857145
2022-02-01,501.2628571428573
2022-02-02,512.5878571428573
2022-02-03,506.58071428571424
2022-02-04,514.2735714285715
2022-02-07,538.2164285714285
2022-02-08,528.3985714285715
2022-02-09,524.6964285714287
2022-02-10,498.4907142857143
2022-02-11,497.4942857142857
2022-02-14,476.9992857142857
2022-02-15,461.7578571428572
2022-02-16,439.0378571428572
2022-02-17,419.2392857142856
2022-02-18,410.1714285714285
2022-02-21,398.2857142857143
2022-02-22,400.6571428571429
2022-02-23,406.0428571428573
2022-02-24,419.28928571428577
2022-02-25,454.482142857143
2022-02-28,464.4642857142857
2022-03-01,482.0642857142856
2022-03-02,489.2535714285714
2022-03-03,485.0892857142857
2022-03-04,474.2964285714285
2022-03-07,473.47857142857146
2022-03-08,489.35357142857146
2022-03-09,509.0178571428573
2022-03-10,519.3321428571429
2022-03-11,518.6357142857144
2022-03-14,528.5285714285716
2022-03-15,522.2535714285715
2022-03-16,518.4571428571429
2022-03-17,493.48928571428587
2022-03-18,484.907142857143
2022-03-21,479.04285714285743
2022-03-22,468.6678571428573
2022-03-23,469.96428571428584
2022-03-24,456.157142857143
2022-03-25,454.9964285714286
2022-03-28,430.1571428571429
2022-03-29,414.14285714285717
2022-03-30,391.6392857142858
2022-03-31,382.00714285714287
2022-04-01,364.02500000000003
2022-04-04,350.4392857142857
2022-04-05,338.2464285714285
2022-04-06,324.5642857142856
2022-04-07,334.8142857142856
2022-04-08,323.57142857142844
2022-04-11,327.07499999999993
2022-04-12,326.23928571428576
2022-04-13,337.83571428571435
2022-04-14,338.3750000000001
2022-04-18,349.40000000000015
2022-04-19,344.782142857143
2022-04-20,351.85000000000025
2022-04-21,358.3107142857144
2022-04-22,378.93214285714305
2022-04-25,396.7071428571431
2022-04-26,396.2857142857147
2022-04-27,422.45000000000044
2022-04-28,421.3928571428577
2022-04-29,435.1714285714291
2022-05-02,454.54285714285754
2022-05-03,453.8714285714289
2022-05-04,440.5964285714289
2022-05-05,464.0178571428574
2022-05-06,494.0785714285716
2022-05-09,503.7357142857144
2022-05-10,512.0071428571429
2022-05-11,519.2464285714287
2022-05-12,519.232142857143
2022-05-13,516.2785714285716
2022-05-16,528.7607142857142
2022-05-17,494.8749999999999
2022-05-18,487.9821428571426
2022-05-19,503.885714285714
2022-05-20,487.4999999999997
2022-05-23,503.99642857142834
2022-05-24,509.51071428571413
2022-05-25,495.685714285714
2022-05-26,461.39642857142854
2022-05-27,467.5357142857143
2022-05-30,465.4035714285714
2022-05-31,448.77142857142854
2022-06-01,429.5357142857143
2022-06-02,424.30000000000007
